"","firm_group","sum_total","mean_total","median_total","max_total","big_share"
"1","АККОНД",40869.4,20434.7,20434.7,20434.7,0
"2","КДВ ГРУПП",81785,20446.25,20464,23553,0
"3","КОНДИТЕРСКАЯ ФАБРИКА ВОЛЖАНКА",8000,4000,4000,4000,0
"4","КОНТИ-РУС",87025454.05,12432207.7214286,750000,74711898,28.5714285714286
"5","НЕВСКИЙ КОНДИТЕР",14803.91,4934.63666666667,4000,9973.15,0
"6","ПЕНЗЕНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",88827.27,44413.635,44413.635,49497.27,0
"7","ПРИМОРСКИЙ КОНДИТЕР",344104,114701.333333333,82404,240100,0
"8","РОТ ФРОНТ",5500,2750,2750,2750,0
"9","СОРМОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",160147.72,20018.465,20552.08,32100,0
"10","ФЕРРЕРО РОССИЯ",377970,94492.5,11610,343140,0
"11","ШОКОЛАДНАЯ ФАБРИКА НОВОСИБИРСКАЯ",375296,93824,93824,107568,0
"12","ЭССЕН ПРОДАКШН АГ",2944975.2,588995.04,660000,1188630,20
