"","firm_group","month","sum_month","month_growth"
"1","АККОНД",6,20434.7,NA
"2","АККОНД",11,20434.7,0
"3","КДВ ГРУПП",2,58232,NA
"4","КДВ ГРУПП",6,23553,-59.5531666437697
"5","КОНДИТЕРСКАЯ ФАБРИКА ВОЛЖАНКА",12,8000,NA
"6","КОНТИ-РУС",6,86642261.5,NA
"7","КОНТИ-РУС",9,383192.55,-99.557730207677
"8","НЕВСКИЙ КОНДИТЕР",4,10803.91,NA
"9","НЕВСКИЙ КОНДИТЕР",9,4000,-62.9763668893947
"10","ПЕНЗЕНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",2,49497.27,NA
"11","ПЕНЗЕНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",4,39330,-20.5410722651976
"12","ПРИМОРСКИЙ КОНДИТЕР",3,344104,NA
"13","РОТ ФРОНТ",5,2750,NA
"14","РОТ ФРОНТ",12,2750,0
"15","СОРМОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",4,13739.4,NA
"16","СОРМОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",6,146408.32,965.609269691544
"17","ФЕРРЕРО РОССИЯ",5,377970,NA
"18","ШОКОЛАДНАЯ ФАБРИКА НОВОСИБИРСКАЯ",12,375296,NA
"19","ЭССЕН ПРОДАКШН АГ",5,13500,NA
"20","ЭССЕН ПРОДАКШН АГ",6,660000,4788.88888888889
"21","ЭССЕН ПРОДАКШН АГ",8,2271475.2,244.162909090909
