"","firm_group","month","mean_num_contract","mean_duration_contracts"
"1","АККОНД",6,1,186
"2","АККОНД",11,1,204
"3","КДВ ГРУПП",2,1,182
"4","КДВ ГРУПП",6,1,186
"5","КОНДИТЕРСКАЯ ФАБРИКА ВОЛЖАНКА",12,1,238
"6","КОНТИ-РУС",6,1,192
"7","КОНТИ-РУС",9,3,526
"8","НЕВСКИЙ КОНДИТЕР",4,1,264
"9","НЕВСКИЙ КОНДИТЕР",9,1,366
"10","ПЕНЗЕНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",2,1,182
"11","ПЕНЗЕНСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",4,1,264
"12","ПРИМОРСКИЙ КОНДИТЕР",3,1,276
"13","РОТ ФРОНТ",5,1,215
"14","РОТ ФРОНТ",12,1,240
"15","СОРМОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",4,1,193
"16","СОРМОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА",6,1,231
"17","ФЕРРЕРО РОССИЯ",5,2,225.5
"18","ШОКОЛАДНАЯ ФАБРИКА НОВОСИБИРСКАЯ",12,1,384
"19","ЭССЕН ПРОДАКШН АГ",5,1,133
"20","ЭССЕН ПРОДАКШН АГ",6,1,192
"21","ЭССЕН ПРОДАКШН АГ",8,1,295
