"","Номер контракта","mean_competitor"
"1","54029000498200000440000",2
"2","59102012001210001380000",2
"3","67702211710240006130000",2
"4","87729122063220000540000",2
"5","1263406391023000110",1
"6","1742800499720000018",1
"7","1773458113615000526",1
"8","2254007679121000208",1
"9","2722300850318000216",1
"10","54027147840220001080000",1
"11","54027147840230001050000",1
"12","54027147840230001120000",1
"13","54027147840230001560000",1
"14","54027147840240000430000",1
"15","54027147840240000780000",1
"16","54027147840240000790000",1
"17","54029000498210001790000",1
"18","67702211710240005720000",1
"19","75610056740220000670000",1
"20","87729122063220002290000",1
